0	I	0	919
1	B	40	302
2	B	80	432
3	P	120	1161
4	B	160	284
5	B	200	377
6	P	240	491
7	B	280	269
8	B	320	284
9	P	360	389
10	B	400	273
11	B	440	329
12	I	480	1463
13	B	520	278
14	B	560	247
15	P	600	386
16	B	640	266
17	B	680	333
18	P	720	490
19	B	760	280		
20	B	800	360		
21	P	840	409		
22	B	880	319		
23	B	920	349		
24	I	960	1472		
25	B	1000	266		
26	B	1040	314		
27	P	1080	424		
28	B	1120	327		
29	B	1160	304		
30	P	1200	460		
31	B	1240	289		
32	B	1280	293		
33	P	1320	398		
34	B	1360	287		
35	B	1400	314		
36	I	1440	1517
37	B	1480	317		
38	B	1520	289		
39	P	1560	442		
40	B	1600	272		
41	B	1640	303		
42	P	1680	338		
43	B	1720	327		
44	B	1760	313		
45	P	1800	339		
46	B	1840	329		
47	B	1880	352		
48	I	1920	1504		
49	B	1960	391		
50	B	2000	273		
51	P	2040	383		
52	B	2080	280		
53	B	2120	398		
54	P	2160	442		
55	B	2200	270		
56	B	2240	332		
57	P	2280	424		
58	B	2320	349		
59	B	2360	306		
60	I	2400	1530		
61	B	2440	267		
62	B	2480	314		
63	P	2520	464		
64	B	2560	313		
65	B	2600	338		
66	P	2640	355		
67	B	2680	274		
68	B	2720	317		
69	P	2760	329		
70	B	2800	287		
71	B	2840	300		
72	I	2880	1465		
73	B	2920	279		
74	B	2960	282		
75	P	3000	326		
76	B	3040	328		
77	B	3080	280		
78	P	3120	320		
79	B	3160	349		
80	B	3200	318		
81	P	3240	470		
82	B	3280	316		
83	B	3320	285		
84	I	3360	1314		
85	B	3400	290		
86	B	3440	316		
87	P	3480	456		
88	B	3520	227		
89	B	3560	242		
90	P	3600	475		
91	B	3640	212		
92	B	3680	213		
93	P	3720	425		
94	B	3760	195		
95	B	3800	177		
96	I	3840	687		
97	B	3880	163		
98	B	3920	132		
99	P	3960	196		
100	B	4000	45		
101	B	4040	51		
102	P	4080	84		
103	B	4120	76		
104	B	4160	34		
105	P	4200	92		
106	B	4240	90		
107	B	4280	130		
108	I	4320	428		
109	B	4360	53		
110	B	4400	50		
111	P	4440	94		
112	B	4480	39		
113	B	4520	49		
114	P	4560	66		
115	B	4600	72		
116	B	4640	38		
117	P	4680	90		
118	B	4720	69		
119	B	4760	79		
120	I	4800	422		
121	B	4840	35		
122	B	4880	35		
123	P	4920	78		
124	B	4960	35		
125	B	5000	30		
126	P	5040	105		
127	B	5080	46		
128	B	5120	45		
129	P	5160	86		
130	B	5200	84		
131	B	5240	85		
132	I	5280	408		
133	B	5320	28		
134	B	5360	46		
135	P	5400	87		
136	B	5440	29		
137	B	5480	32		
138	P	5520	46		
139	B	5560	30		
140	B	5600	34		
141	P	5640	44		
142	B	5680	46		
143	B	5720	73		
144	I	5760	409		
145	B	5800	26		
146	B	5840	26		
147	P	5880	39		
148	B	5920	28		
149	B	5960	34		
150	P	6000	51		
151	B	6040	4803		
152	B	6080	5100		
153	P	6120	9370		
154	B	6160	4254		
155	B	6200	3940		
156	I	6240	7632		
157	B	6280	3820		
158	B	6320	3787		
159	P	6360	4406		
